,time,size,direction
0,0.0,40.0,1.0
1,0.0012705326080322266,86.0,1.0
2,0.04633378982543945,40.0,-1.0
3,0.8530688285827637,272.0,1.0
4,0.8535966873168945,1500.0,1.0
5,0.8536486625671387,1500.0,1.0
6,0.8536672592163086,1500.0,1.0
7,0.8536839485168457,1500.0,1.0
8,0.8810746669769287,65.0,1.0
9,0.8940951824188232,40.0,-1.0
10,0.8940973281860352,40.0,-1.0
11,0.8992712497711182,1500.0,1.0
12,0.8994400501251221,40.0,-1.0
13,0.8994424343109131,40.0,-1.0
14,0.8994433879852295,40.0,-1.0
15,0.8995211124420166,1500.0,1.0
16,0.901057243347168,1500.0,1.0
17,0.9023442268371582,215.0,1.0
18,0.9051871299743652,81.0,-1.0
19,0.9137353897094727,60.0,1.0
20,0.9412193298339844,40.0,-1.0
21,0.946190357208252,40.0,-1.0
22,0.9510836601257324,1500.0,1.0
23,0.951512336730957,52.0,-1.0
24,0.9519577026367188,1500.0,1.0
25,0.9519813060760498,1500.0,1.0
26,0.9519968032836914,1500.0,1.0
27,0.9529564380645752,1118.0,1.0
28,0.9529774188995361,40.0,1.0
29,0.954582691192627,298.0,1.0
30,0.9915368556976318,40.0,-1.0
31,0.9959728717803955,158.0,1.0
32,0.9961934089660645,40.0,-1.0
33,0.9975852966308594,40.0,-1.0
34,0.997889518737793,40.0,-1.0
35,0.9978904724121094,40.0,-1.0
36,0.998342752456665,177.0,-1.0
37,0.9983437061309814,40.0,-1.0
38,0.9988410472869873,82.0,-1.0
39,1.0138096809387207,132.0,-1.0
40,1.0138113498687744,78.0,-1.0
41,1.014876127243042,276.0,1.0
42,1.0150461196899414,40.0,1.0
43,1.0156116485595703,91.0,1.0
44,1.0168111324310303,40.0,1.0
45,1.0267102718353271,158.0,1.0
46,1.0547094345092773,40.0,-1.0
47,1.0610229969024658,158.0,1.0
48,1.0753355026245117,158.0,1.0
49,1.0964009761810303,158.0,1.0
50,1.1003351211547852,40.0,-1.0
51,1.1072096824645996,40.0,-1.0
52,1.1086463928222656,753.0,1.0
53,1.110121250152588,158.0,1.0
54,1.13631010055542,40.0,-1.0
55,1.1454131603240967,158.0,1.0
56,1.148221731185913,40.0,-1.0
57,1.1698672771453857,158.0,1.0
58,1.1734635829925537,158.0,1.0
59,1.185481309890747,40.0,-1.0
60,1.1878061294555664,158.0,1.0
61,1.2150423526763916,40.0,-1.0
62,1.2220489978790283,158.0,1.0
63,1.236325979232788,158.0,1.0
64,1.2512538433074951,158.0,1.0
65,1.2708773612976074,158.0,1.0
66,1.2710466384887695,40.0,-1.0
67,1.2756788730621338,405.0,-1.0
68,1.2773540019989014,71.0,1.0
69,1.277449607849121,40.0,1.0
70,1.2906877994537354,40.0,-1.0
71,1.3001866340637207,158.0,1.0
72,1.3159449100494385,40.0,-1.0
73,1.316387414932251,40.0,-1.0
74,1.3353846073150635,158.0,1.0
75,1.3355553150177002,158.0,1.0
76,1.3363306522369385,40.0,1.0
77,1.3395731449127197,40.0,-1.0
78,1.3500025272369385,158.0,1.0
79,1.357835054397583,273.0,1.0
80,1.359161138534546,176.0,1.0
81,1.3799347877502441,40.0,-1.0
82,1.3827159404754639,1500.0,1.0
83,1.3840832710266113,1500.0,1.0
84,1.3979744911193848,40.0,-1.0
85,1.4112763404846191,1197.0,1.0
86,1.4114391803741455,158.0,1.0
87,1.4231185913085938,40.0,-1.0
88,1.4323763847351074,158.0,1.0
89,1.4528348445892334,40.0,-1.0
90,1.4601218700408936,158.0,1.0
91,1.472508430480957,40.0,-1.0
92,1.473958969116211,158.0,1.0
93,1.495356559753418,158.0,1.0
94,1.5090372562408447,158.0,1.0
95,1.5138907432556152,40.0,-1.0
96,1.5444204807281494,158.0,1.0
97,1.548314094543457,40.0,-1.0
98,1.5571844577789307,132.0,-1.0
99,1.5571863651275635,78.0,-1.0
100,1.5865700244903564,158.0,1.0
101,1.5867249965667725,158.0,1.0
102,1.5869221687316895,158.0,1.0
103,1.6211721897125244,158.0,1.0
104,1.6260147094726562,40.0,-1.0
