,time,size,direction
0,0.0,52.0,1.0
1,0.98018479347229,275.0,1.0
2,0.9804940223693848,1500.0,1.0
3,0.9805116653442383,1500.0,1.0
4,0.9807302951812744,1500.0,1.0
5,0.9807462692260742,1223.0,1.0
6,0.9809203147888184,1500.0,1.0
7,0.9809362888336182,65.0,1.0
8,0.9847993850708008,218.0,1.0
9,0.9964861869812012,40.0,-1.0
10,0.996936559677124,40.0,-1.0
11,0.997112512588501,40.0,-1.0
12,0.9971137046813965,40.0,-1.0
13,0.9972913265228271,40.0,-1.0
14,0.9972922801971436,40.0,-1.0
15,0.998253345489502,113.0,-1.0
16,1.0011067390441895,40.0,-1.0
17,1.0067095756530762,60.0,1.0
18,1.0105814933776855,275.0,1.0
19,1.011136531829834,1500.0,1.0
20,1.0129313468933105,1500.0,1.0
21,1.0129470825195312,1500.0,1.0
22,1.0129592418670654,1098.0,1.0
23,1.0225036144256592,52.0,-1.0
24,1.0237352848052979,40.0,1.0
25,1.025519609451294,298.0,1.0
26,1.026855707168579,40.0,-1.0
27,1.0276315212249756,40.0,-1.0
28,1.029432773590088,40.0,-1.0
29,1.0294339656829834,40.0,-1.0
30,1.0296289920806885,40.0,-1.0
31,1.0399811267852783,40.0,-1.0
32,1.0421664714813232,40.0,-1.0
33,1.0428986549377441,177.0,-1.0
34,1.052445650100708,40.0,1.0
35,1.0545165538787842,91.0,1.0
36,1.0929162502288818,1500.0,1.0
37,1.093224287033081,1500.0,1.0
38,1.0932395458221436,1500.0,1.0
39,1.0932512283325195,1500.0,1.0
40,1.0934369564056396,1500.0,1.0
41,1.0934545993804932,458.0,1.0
42,1.0951673984527588,132.0,-1.0
43,1.0951685905456543,78.0,-1.0
44,1.1057336330413818,158.0,1.0
45,1.109395980834961,40.0,-1.0
46,1.1096899509429932,40.0,-1.0
47,1.1099255084991455,40.0,-1.0
48,1.1100873947143555,40.0,-1.0
49,1.1100883483886719,82.0,-1.0
50,1.1125738620758057,40.0,-1.0
51,1.1441569328308105,158.0,1.0
52,1.1442451477050781,158.0,1.0
53,1.1603999137878418,40.0,-1.0
54,1.163572072982788,158.0,1.0
55,1.1798629760742188,40.0,-1.0
56,1.1849853992462158,158.0,1.0
57,1.2141444683074951,158.0,1.0
58,1.2142295837402344,158.0,1.0
59,1.2304072380065918,40.0,-1.0
60,1.2472858428955078,158.0,1.0
61,1.2615091800689697,158.0,1.0
62,1.2635648250579834,40.0,-1.0
63,1.2668588161468506,752.0,1.0
64,1.2830820083618164,40.0,-1.0
65,1.2884283065795898,386.0,-1.0
66,1.291367769241333,158.0,1.0
67,1.3076231479644775,40.0,-1.0
68,1.336766004562378,276.0,1.0
