,time,size,direction
0,0.0,176.0,1.0
1,0.0005161762237548828,1500.0,1.0
2,0.0005412101745605469,1500.0,1.0
3,0.0005588531494140625,1282.0,1.0
4,0.002960681915283203,122.0,1.0
5,0.0030906200408935547,78.0,1.0
6,0.03937363624572754,40.0,-1.0
7,0.047380924224853516,40.0,-1.0
8,0.04738306999206543,40.0,-1.0
9,0.04752230644226074,40.0,-1.0
10,0.04752326011657715,40.0,-1.0
11,0.21287131309509277,132.0,-1.0
12,0.2128763198852539,78.0,-1.0
13,0.21797394752502441,40.0,1.0
14,0.9904732704162598,272.0,1.0
15,0.9907882213592529,176.0,1.0
16,0.9911129474639893,1500.0,1.0
17,0.9911551475524902,1500.0,1.0
18,0.9933409690856934,1136.0,1.0
19,0.9936356544494629,118.0,1.0
20,0.9941186904907227,166.0,1.0
21,0.9941525459289551,65.0,1.0
22,0.9949567317962646,1500.0,1.0
23,0.9952003955841064,162.0,1.0
24,1.0237679481506348,113.0,-1.0
25,1.0331897735595703,60.0,1.0
26,1.0346384048461914,40.0,-1.0
27,1.0346400737762451,40.0,-1.0
28,1.0346415042877197,40.0,-1.0
29,1.0346424579620361,40.0,-1.0
30,1.0366320610046387,1500.0,1.0
31,1.0371968746185303,1500.0,1.0
32,1.0372180938720703,1500.0,1.0
33,1.0372352600097656,123.0,1.0
34,1.0404691696166992,40.0,-1.0
35,1.040470838546753,40.0,-1.0
36,1.0404720306396484,40.0,-1.0
37,1.040473222732544,40.0,-1.0
38,1.0726969242095947,52.0,-1.0
39,1.0740716457366943,40.0,1.0
40,1.0798068046569824,298.0,1.0
41,1.0820839405059814,40.0,-1.0
42,1.0820848941802979,40.0,-1.0
43,1.0823523998260498,1500.0,1.0
44,1.0837574005126953,1500.0,1.0
45,1.083785057067871,1500.0,1.0
46,1.0838017463684082,1298.0,1.0
47,1.0956401824951172,158.0,1.0
48,1.1130194664001465,40.0,-1.0
49,1.117037296295166,158.0,1.0
50,1.1187858581542969,40.0,-1.0
51,1.1187870502471924,177.0,-1.0
52,1.121161699295044,40.0,1.0
53,1.1217141151428223,91.0,1.0
54,1.1270341873168945,40.0,-1.0
55,1.127199411392212,40.0,-1.0
56,1.1272006034851074,40.0,-1.0
57,1.1310834884643555,158.0,1.0
58,1.140235185623169,40.0,-1.0
59,1.149003267288208,132.0,-1.0
60,1.1501586437225342,78.0,-1.0
61,1.153123140335083,40.0,1.0
62,1.163971185684204,158.0,1.0
63,1.1715595722198486,40.0,-1.0
64,1.178076982498169,158.0,1.0
65,1.1908690929412842,158.0,1.0
66,1.2049658298492432,40.0,-1.0
67,1.2064998149871826,751.0,1.0
68,1.2121574878692627,158.0,1.0
69,1.230825424194336,40.0,-1.0
70,1.2397189140319824,158.0,1.0
71,1.2455952167510986,40.0,-1.0
72,1.2526614665985107,403.0,-1.0
73,1.252990961074829,40.0,-1.0
74,1.2539417743682861,158.0,1.0
75,1.254387378692627,71.0,1.0
76,1.254467248916626,40.0,1.0
77,1.2750635147094727,158.0,1.0
78,1.2887210845947266,158.0,1.0
79,1.2946932315826416,40.0,-1.0
80,1.2963407039642334,40.0,-1.0
81,1.2975358963012695,40.0,1.0
82,1.3283133506774902,40.0,-1.0
83,1.339846134185791,158.0,1.0
84,1.3399779796600342,158.0,1.0
85,1.351844310760498,158.0,1.0
86,1.37266206741333,158.0,1.0
87,1.3817334175109863,40.0,-1.0
88,1.400970220565796,158.0,1.0
89,1.4133274555206299,40.0,-1.0
90,1.4148595333099365,158.0,1.0
91,1.4365155696868896,158.0,1.0
92,1.4500391483306885,158.0,1.0
93,1.4557020664215088,40.0,-1.0
94,1.4557042121887207,82.0,-1.0
95,1.4778730869293213,158.0,1.0
96,1.49006986618042,40.0,-1.0
97,1.498981237411499,158.0,1.0
98,1.504253625869751,629.0,1.0
99,1.505479097366333,176.0,1.0
100,1.5058848857879639,1500.0,1.0
101,1.506866455078125,1500.0,1.0
102,1.5070888996124268,839.0,1.0
103,1.5084376335144043,122.0,1.0
104,1.5085117816925049,78.0,1.0
105,1.5382237434387207,40.0,-1.0
106,1.5395052433013916,276.0,1.0
107,1.550055980682373,40.0,-1.0
108,1.5500576496124268,40.0,-1.0
109,1.5500588417053223,40.0,-1.0
110,1.561676025390625,158.0,1.0
111,1.5762546062469482,158.0,1.0
112,1.5902938842773438,158.0,1.0
113,1.6016292572021484,40.0,-1.0
114,1.6106841564178467,158.0,1.0
115,1.630082607269287,40.0,-1.0
116,1.6300852298736572,132.0,-1.0
117,1.6300861835479736,78.0,-1.0
118,1.6334459781646729,40.0,1.0
119,1.6413602828979492,158.0,1.0
120,1.6601061820983887,158.0,1.0
121,1.673858404159546,158.0,1.0
122,1.6810500621795654,40.0,-1.0
123,1.6880247592926025,158.0,1.0
124,1.7140319347381592,40.0,-1.0
125,1.7229087352752686,158.0,1.0
126,1.7369310855865479,158.0,1.0
127,1.7516014575958252,158.0,1.0
128,1.7622082233428955,40.0,-1.0
129,1.7734487056732178,158.0,1.0
130,1.7916464805603027,40.0,-1.0
131,1.7997303009033203,158.0,1.0
132,1.8209691047668457,158.0,1.0
133,1.8345813751220703,158.0,1.0
134,1.8401532173156738,40.0,-1.0
