,time,size,direction
0,0.0,176.0,1.0
1,0.001844167709350586,1500.0,1.0
2,0.0037543773651123047,1500.0,1.0
3,0.0037865638732910156,1500.0,1.0
4,0.0038094520568847656,961.0,1.0
5,0.014159440994262695,166.0,1.0
6,0.015877723693847656,40.0,-1.0
7,0.01631307601928711,40.0,-1.0
8,0.01833057403564453,40.0,-1.0
9,0.020246267318725586,40.0,-1.0
10,0.020444631576538086,40.0,-1.0
11,0.020448923110961914,40.0,-1.0
12,0.030436277389526367,40.0,-1.0
13,0.08052873611450195,65.0,1.0
14,0.0935521125793457,1500.0,1.0
15,0.09802436828613281,113.0,-1.0
16,0.10590386390686035,1500.0,1.0
17,0.10796666145324707,1500.0,1.0
18,0.10799789428710938,1500.0,1.0
19,0.10802149772644043,1455.0,1.0
20,0.11008930206298828,40.0,-1.0
21,0.12235260009765625,1500.0,1.0
22,0.12245726585388184,40.0,-1.0
23,0.12274312973022461,1500.0,1.0
24,0.12442350387573242,1500.0,1.0
25,0.12452554702758789,40.0,-1.0
26,0.12469244003295898,40.0,-1.0
27,0.1246945858001709,40.0,-1.0
28,0.13888764381408691,40.0,-1.0
29,0.1392202377319336,40.0,-1.0
30,0.14096283912658691,40.0,-1.0
31,0.1961207389831543,133.0,-1.0
32,0.1961228847503662,78.0,-1.0
33,0.253307580947876,1500.0,1.0
34,0.3132898807525635,40.0,-1.0
35,0.3533008098602295,78.0,-1.0
36,0.4816579818725586,1500.0,1.0
37,0.4818687438964844,1264.0,1.0
38,0.4818861484527588,52.0,1.0
39,0.49065065383911133,158.0,1.0
40,0.49848127365112305,40.0,-1.0
41,0.5037879943847656,158.0,1.0
42,0.5071859359741211,40.0,-1.0
43,0.5173263549804688,272.0,1.0
44,0.518308162689209,176.0,1.0
45,0.5189392566680908,158.0,1.0
46,0.5201418399810791,40.0,-1.0
47,0.5210425853729248,1500.0,1.0
48,0.5229072570800781,1500.0,1.0
49,0.5229637622833252,1500.0,1.0
50,0.5337276458740234,40.0,-1.0
51,0.5348122119903564,40.0,-1.0
52,0.5352485179901123,40.0,-1.0
53,0.5395629405975342,40.0,-1.0
54,0.5933139324188232,40.0,-1.0
55,0.8203558921813965,1500.0,1.0
56,0.8368716239929199,40.0,-1.0
57,0.8370306491851807,82.0,-1.0
58,0.9478294849395752,133.0,-1.0
59,0.9478318691253662,78.0,-1.0
60,1.0333178043365479,78.0,-1.0
61,1.121474027633667,1500.0,1.0
62,1.1216750144958496,1208.0,1.0
63,1.128131628036499,158.0,1.0
64,1.1381151676177979,40.0,-1.0
65,1.1420106887817383,158.0,1.0
66,1.158418893814087,40.0,-1.0
67,1.1649510860443115,158.0,1.0
68,1.180619239807129,158.0,1.0
69,1.1968913078308105,40.0,-1.0
70,1.2106058597564697,158.0,1.0
71,1.2245335578918457,158.0,1.0
72,1.2391836643218994,158.0,1.0
73,1.2408480644226074,40.0,-1.0
74,1.2539212703704834,158.0,1.0
75,1.270216941833496,40.0,-1.0
76,1.2832233905792236,82.0,-1.0
77,1.770951747894287,1500.0,1.0
78,1.7732253074645996,82.0,-1.0
79,1.8332428932189941,40.0,-1.0
80,2.65667724609375,52.0,1.0
81,2.7933192253112793,82.0,-1.0
82,2.804468870162964,1500.0,1.0
83,2.8047187328338623,64.0,1.0
84,2.8049890995025635,1500.0,1.0
85,2.8050200939178467,64.0,1.0
86,2.8053417205810547,1500.0,1.0
87,2.805370807647705,64.0,1.0
88,2.805619239807129,1500.0,1.0
89,2.8057117462158203,64.0,1.0
90,2.806452989578247,1500.0,1.0
91,2.807929515838623,272.0,1.0
92,2.807957410812378,170.0,1.0
93,2.8209991455078125,133.0,-1.0
94,2.821002721786499,40.0,-1.0
95,2.8210041522979736,40.0,-1.0
96,2.821488618850708,40.0,-1.0
97,2.8218438625335693,40.0,-1.0
98,2.8221116065979004,40.0,-1.0
99,2.822657585144043,40.0,1.0
100,2.8229832649230957,40.0,-1.0
101,2.8243026733398438,40.0,-1.0
102,2.8243045806884766,40.0,-1.0
103,2.829029083251953,158.0,1.0
104,2.840880870819092,158.0,1.0
105,2.845362901687622,40.0,-1.0
106,2.8548829555511475,158.0,1.0
107,2.8571949005126953,40.0,-1.0
108,2.8712270259857178,40.0,-1.0
109,2.890350580215454,158.0,1.0
110,2.9030799865722656,158.0,1.0
111,2.9066450595855713,40.0,-1.0
112,2.917823553085327,158.0,1.0
113,2.9194271564483643,40.0,-1.0
114,2.9341559410095215,40.0,-1.0
