,time,size,direction
0,0.0,63.0,-1.0
1,0.5679199695587158,272.0,1.0
2,0.5681252479553223,176.0,1.0
3,0.5682806968688965,1500.0,1.0
4,0.5690169334411621,1500.0,1.0
5,0.569040060043335,1138.0,1.0
6,0.5690569877624512,118.0,1.0
7,0.5990002155303955,65.0,1.0
8,0.6062271595001221,40.0,-1.0
9,0.6100375652313232,1500.0,1.0
10,0.6143825054168701,40.0,-1.0
11,0.6145145893096924,40.0,-1.0
12,0.6160275936126709,1500.0,1.0
13,0.6179447174072266,1500.0,1.0
14,0.6179678440093994,1500.0,1.0
15,0.6179847717285156,340.0,1.0
16,0.6234567165374756,81.0,-1.0
17,0.6260249614715576,60.0,1.0
18,0.6504530906677246,40.0,-1.0
19,0.6548416614532471,40.0,-1.0
20,0.6608562469482422,40.0,-1.0
21,0.6608576774597168,40.0,-1.0
22,0.6617233753204346,1500.0,1.0
23,0.6631426811218262,1500.0,1.0
24,0.6631674766540527,1500.0,1.0
25,0.6645593643188477,1500.0,1.0
26,0.6645832061767578,478.0,1.0
27,0.6653366088867188,52.0,-1.0
28,0.6839940547943115,158.0,1.0
29,0.6841356754302979,40.0,1.0
30,0.6854362487792969,298.0,1.0
31,0.700087308883667,40.0,-1.0
32,0.7026572227478027,276.0,1.0
33,0.706451416015625,40.0,-1.0
34,0.7085268497467041,40.0,-1.0
35,0.7218649387359619,40.0,-1.0
36,0.724461555480957,40.0,-1.0
37,0.7295606136322021,40.0,-1.0
38,0.7295615673065186,177.0,-1.0
39,0.7312278747558594,40.0,1.0
40,0.737260103225708,91.0,1.0
41,0.7373638153076172,158.0,1.0
42,0.7404754161834717,40.0,-1.0
43,0.7678771018981934,132.0,-1.0
44,0.7678794860839844,78.0,-1.0
45,0.7798609733581543,158.0,1.0
46,0.7799997329711914,158.0,1.0
47,0.7800800800323486,40.0,1.0
48,0.7858290672302246,158.0,1.0
49,0.8207323551177979,158.0,1.0
50,0.8249785900115967,40.0,-1.0
51,0.8258283138275146,40.0,-1.0
52,0.8304634094238281,40.0,-1.0
53,0.8439483642578125,158.0,1.0
54,0.845099925994873,753.0,1.0
55,0.8478813171386719,158.0,1.0
56,0.8624680042266846,158.0,1.0
57,0.8818588256835938,40.0,-1.0
58,0.8881726264953613,40.0,-1.0
59,0.8966989517211914,405.0,-1.0
60,0.8967800140380859,158.0,1.0
61,0.8988285064697266,71.0,1.0
62,0.8989849090576172,40.0,1.0
63,0.9002234935760498,40.0,-1.0
64,0.9185624122619629,158.0,1.0
65,0.9325098991394043,158.0,1.0
66,0.9411859512329102,40.0,-1.0
67,0.9428598880767822,40.0,1.0
68,0.9458534717559814,158.0,1.0
69,0.9559051990509033,40.0,-1.0
70,0.9739537239074707,158.0,1.0
71,0.9859886169433594,40.0,-1.0
72,0.9985191822052002,158.0,1.0
73,1.0091164112091064,158.0,1.0
74,1.0232386589050293,158.0,1.0
75,1.0361220836639404,40.0,-1.0
76,1.0617022514343262,40.0,-1.0
77,1.0635745525360107,158.0,1.0
78,1.0786426067352295,158.0,1.0
79,1.0800786018371582,273.0,1.0
80,1.0818812847137451,228.0,-1.0
81,1.0871317386627197,176.0,1.0
82,1.0879545211791992,158.0,1.0
83,1.0899815559387207,1500.0,1.0
84,1.115922212600708,40.0,-1.0
85,1.1181995868682861,1500.0,1.0
86,1.1195785999298096,1079.0,1.0
87,1.1257684230804443,40.0,-1.0
88,1.1348919868469238,158.0,1.0
89,1.1569089889526367,40.0,-1.0
90,1.1635208129882812,82.0,-1.0
91,1.1685094833374023,158.0,1.0
92,1.1705303192138672,158.0,1.0
93,1.184086561203003,158.0,1.0
94,1.2054836750030518,40.0,-1.0
95,1.2192468643188477,158.0,1.0
96,1.2217609882354736,40.0,-1.0
97,1.2388248443603516,158.0,1.0
98,1.2462754249572754,132.0,-1.0
99,1.2462773323059082,78.0,-1.0
100,1.2473886013031006,158.0,1.0
101,1.251127004623413,40.0,1.0
102,1.2680296897888184,158.0,1.0
103,1.2761173248291016,40.0,-1.0
104,1.2961201667785645,158.0,1.0
105,1.3057310581207275,40.0,-1.0
106,1.3190746307373047,158.0,1.0
107,1.3310389518737793,158.0,1.0
108,1.349017858505249,158.0,1.0
109,1.3569540977478027,40.0,-1.0
110,1.3800575733184814,158.0,1.0
111,1.3866093158721924,40.0,-1.0
112,1.39959716796875,158.0,1.0
113,1.4083425998687744,158.0,1.0
114,1.4222910404205322,158.0,1.0
115,1.437065839767456,40.0,-1.0
116,1.4602124691009521,40.0,-1.0
117,1.476243019104004,158.0,1.0
118,1.4763965606689453,158.0,1.0
119,1.4920554161071777,158.0,1.0
120,1.505824089050293,158.0,1.0
121,1.5142507553100586,40.0,-1.0
122,1.542367935180664,158.0,1.0
123,1.5436747074127197,40.0,-1.0
124,1.558500051498413,158.0,1.0
125,1.5686774253845215,158.0,1.0
126,1.5849285125732422,158.0,1.0
127,1.5959548950195312,40.0,-1.0
128,1.6176409721374512,158.0,1.0
129,1.6225512027740479,40.0,-1.0
130,1.6385412216186523,158.0,1.0
131,1.6516265869140625,158.0,1.0
132,1.6673614978790283,158.0,1.0
133,1.67596435546875,40.0,-1.0
134,1.6947801113128662,158.0,1.0
135,1.7047772407531738,40.0,-1.0
136,1.71852707862854,158.0,1.0
137,1.7312994003295898,158.0,1.0
138,1.743642807006836,158.0,1.0
139,1.755927562713623,40.0,-1.0
140,1.7779467105865479,158.0,1.0
141,1.7811293601989746,40.0,-1.0
142,1.799083948135376,158.0,1.0
143,1.8061552047729492,158.0,1.0
144,1.8273041248321533,158.0,1.0
145,1.8369677066802979,40.0,-1.0
